Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
A Day in the Life,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,LennonMcCartney,1967,[63]
A Hard Day's Night,A Hard Day's Night,LennonMcCartney,Lennon(with McCartney),1964,[56]
A Taste of Honey,Please Please Me,Bobby ScottRic Marlow,McCartney,1963,[58]
Across the Universe,Let It BePast Masters,LennonMcCartney,John Lennon,1969,[49][50]
Across the Universe,Let It BePast Masters,LennonMcCartney,John Lennon,1969,[49][50]
Act Naturally,Help!,Johnny RussellVoni Morrison,Ringo Starr,1965,[51]
All I've Got to Do,With the Beatles,LennonMcCartney,Lennon,1963,[52]
All My Loving,With the Beatles,LennonMcCartney,Paul McCartney,1963,[52]
All Together Now,Yellow Submarine,LennonMcCartney,McCartney(with Lennon),1969,[53]
All You Need Is Love,Magical Mystery Tour,LennonMcCartney,Lennon,1967,[54][55]
And I Love Her,A Hard Day's Night,LennonMcCartney,McCartney,1964,[56]
And Your Bird Can Sing,Revolver,LennonMcCartney,Lennon,1966,[57]
Anna (Go to Him),Please Please Me,Arthur Alexander,Lennon,1963,[58]
Another Girl,Help!,LennonMcCartney,McCartney,1965,[51]
Any Time at All,A Hard Day's Night,LennonMcCartney,Lennon(with McCartney),1964,[56]
Ask Me Why,Please Please Me,LennonMcCartney,Lennon,1963,[58]
Baby It's You,Please Please Me,Burt BacharachHal DavidLuther Dixon,Lennon,1963,[58]
Baby You're a Rich Man,"Magical Mystery Tour(B-side of ""All You Need Is Love"")",LennonMcCartney,Lennon,1967,[54][55]
Baby's in Black,Beatles for Sale,LennonMcCartney,LennonMcCartney,1964,[59]
Back in the U.S.S.R.,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
Bad Boy,Past Masters,Larry Williams,Lennon,1966,[50]
Because,Abbey Road,LennonMcCartney,LennonMcCartneyHarrison,1969,[62]
Being for the Benefit of Mr. Kite!,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Lennon,1967,[63]
Birthday,"The Beatles (""White Album"")",LennonMcCartney,McCartney(with Lennon),1968,[60]
Blackbird,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
Blue Jay Way,Magical Mystery Tour,George Harrison,Harrison,1967,[55]
Boys,Please Please Me,Luther DixonWes Farrell,Starr,1963,[58]
Can't Buy Me Love,A Hard Day's Night,LennonMcCartney,McCartney,1964,[56]
Chains,Please Please Me,Gerry GoffinCarole King,Harrison,1963,[58]
Come Together,Abbey Road,LennonMcCartney,Lennon,1969,[62]
Cry Baby Cry,"The Beatles (""White Album"")",LennonMcCartney,Lennon(with McCartney),1968,[60]
Day Tripper,"Past Masters(Double A-side with ""We Can Work It Out"")",LennonMcCartney,LennonMcCartney,1965,[50][64]
Dear Prudence,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
Devil in Her Heart,With the Beatles,Richard Drapkin,Harrison,1963,[52]
Dig a Pony,Let It Be,LennonMcCartney,Lennon,1970,[49]
Dig It,Let It Be,LennonMcCartneyHarrisonStarkey,Lennon,1970,[49]
Dizzy Miss Lizzy,Help!,Larry Williams,Lennon,1965,[51]
Do You Want to Know a Secret,Please Please Me,LennonMcCartney,Harrison,1963,[58]
Doctor Robert,Revolver,LennonMcCartney,Lennon,1966,[57]
Don't Bother Me,With the Beatles,Harrison,Harrison,1963,[52]
Don't Let Me Down,"Past Masters(B-side of ""Get Back"")",LennonMcCartney,Lennon,1969,[50][66]
Don't Pass Me By,"The Beatles (""White Album"")",Starkey,Starr,1968,[60]
Drive My Car,Rubber Soul,LennonMcCartney,McCartney(with Lennon),1965,[67]
Eight Days a Week,Beatles for Sale,LennonMcCartney,LennonMcCartney,1964,[59]
Eleanor Rigby,Revolver,LennonMcCartney,McCartney,1966,[57]
Every Little Thing,Beatles for Sale,LennonMcCartney,Lennon(with McCartney),1964,[59]
Everybody's Got Something to Hide Except Me and My Monkey,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
Everybody's Trying to Be My Baby,Beatles for Sale,Carl Perkins,Harrison,1964,[59]
Fixing a Hole,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967,[63]
Fool on the Hill,Magical Mystery Tour,LennonMcCartney,McCartney,1967,[55]
Flying,Magical Mystery Tour,LennonMcCartneyHarrisonStarkey,Instrumental,1967,[55]
For No One,Revolver,LennonMcCartney,McCartney,1966,[57]
For Your Blue,Let It Be,Harrison,Harrison,1970,[49]
From Me to You,Past Masters,LennonMcCartney,Lennon(with McCartney),1963,[50][68]
Get Back (45 RPM Version),Let It BePast Masters,LennonMcCartney,McCartney,1969,[49][50][66]
Get Back (Album Version),Let It BePast Masters,LennonMcCartney,McCartney,1969,[49][50][66]
Getting Better,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967,[63]
Girl,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
Glass Onion,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
Good Day Sunshine,Revolver,LennonMcCartney,McCartney,1966,[57]
Good Morning Good Morning,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Lennon,1967,[63]
Good Night,"The Beatles (""White Album"")",LennonMcCartney,Starr,1968,[60]
Got to Get You into My Life,Revolver,LennonMcCartney,McCartney,1966,[57]
Happiness Is a Warm Gun,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
Hello Goodbye,Magical Mystery Tour,LennonMcCartney,McCartney,1967,[55][70]
Help!,Help!,LennonMcCartney,Lennon,1965,[51]
Helter Skelter,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
Here Comes the Sun,Abbey Road,Harrison,Harrison,1969,[62]
"Here, There, and Everywhere",Revolver,LennonMcCartney,McCartney,1966,[57]
Hey Bulldog,Yellow Submarine,LennonMcCartney,Lennon,1969,[53]
Hey Jude,Past Masters,LennonMcCartney,McCartney,1968,[50][71]
Hold Me Tight,With the Beatles,LennonMcCartney,McCartney,1963,[52]
Honey Don't,Beatles for Sale,Carl Perkins,Starr,1964,[59]
Honey Pie,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
I Am the Walrus,Magical Mystery Tour,LennonMcCartney,Lennon,1967,[55]
I Call Your Name,Past Masters,LennonMcCartney,Lennon,1964,[50]
I Don't Want to Spoil the Party,Beatles for Sale,LennonMcCartney,Lennon(with McCartney),1964,[59]
I Feel Fine,Past Masters,LennonMcCartney,Lennon,1964,[50][73]
I Me Mine,Let It Be,Harrison,Harrison,1970,[49]
I Need You,Help!,Harrison,Harrison,1965,[51]
I Saw Her Standing There,Please Please Me,LennonMcCartney,McCartney,1963,[58]
I Should Have Known Better,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
I Wanna Be Your Man,With the Beatles,LennonMcCartney,Starr,1963,[52]
I Want to Hold Your Hand,Past Masters,LennonMcCartney,LennonMcCartney,1963,[50][74]
I Want to Tell You,Revolver,Harrison,Harrison,1966,[57]
I Want You (She's So Heavy),Abbey Road,LennonMcCartney,Lennon,1969,[62]
I Will,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
I'll Be Back,A Hard Day's Night,LennonMcCartney,Lennon(with McCartney),1964,[56]
I'll Cry Instead,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
I'll Follow the Sun,Beatles for Sale,LennonMcCartney,McCartney,1964,[59]
I'll Get You,"Past Masters(B-side of ""She Loves You"")",LennonMcCartney,Lennon(with McCartney),1963,[50][75]
I'm a Loser,Beatles for Sale,LennonMcCartney,Lennon,1964,[59]
I'm Down,"Past Masters(B-side of ""Help!"")",LennonMcCartney,McCartney,1965,[50][76]
I'm Happy Just to Dance with You,A Hard Day's Night,LennonMcCartney,Harrison,1964,[56]
I'm Looking Through You,Rubber Soul,LennonMcCartney,McCartney,1965,[67]
I'm Only Sleeping,Revolver,LennonMcCartney,Lennon,1966,[57]
I'm So Tired,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
I've Got a Feeling,Let It Be,LennonMcCartney,McCartney(with Lennon),1970,[49]
I've Just Seen a Face,Help!,LennonMcCartney,McCartney,1965,[51]
If I Fell,A Hard Day's Night,LennonMcCartney,LennonMcCartney,1964,[56]
If I Needed Someone,Rubber Soul,Harrison,Harrison,1965,[67]
In My Life,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
It Won't Be Long,With the Beatles,LennonMcCartney,Lennon,1963,[52]
It's All Too Much,Yellow Submarine,Harrison,Harrison,1969,[53]
It's Only Love,Help!,LennonMcCartney,Lennon,1965,[67]
Julia,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
Kansas City/Hey-Hey-Hey-Hey!,Beatles for Sale,Jerry LeiberMike Stoller /Richard Penniman,McCartney,1964,[59]
"Komm, gib mir deine Hand",Past Masters,LennonMcCartneyJean NicolasHeinz Hellmer,LennonMcCartney,1964,[50][78]
Lady Madonna,Past Masters,LennonMcCartney,McCartney,1968,[50][77]
Let It Be,Let It BePast Masters,LennonMcCartney,McCartney,1970,[49][50]
Let It Be,Let It BePast Masters,LennonMcCartney,McCartney,1970,[49][50]
Little Child,With the Beatles,LennonMcCartney,LennonMcCartney,1963,[52]
Long Tall Sally,Past Masters,Robert BlackwellEnotris JohnsonRichard Penniman,McCartney,1964,[50]
"Long, Long, Long","The Beatles (""White Album"")",Harrison,Harrison,1968,[60]
Love Me Do,Please Please MePast Masters,LennonMcCartney,McCartney(with Lennon),1962,[58][50]
Love Me Do,Please Please MePast Masters,LennonMcCartney,McCartney(with Lennon),1962,[58][50]
Love You To,Revolver,Harrison,Harrison,1966,[57]
Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967,[63]
Lucy in the Sky with Diamonds,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Lennon,1967,[63]
Maggie Mae,Let It Be,"Traditional, arr.LennonMcCartneyHarrisonStarkey",Lennon(with McCartney),1970,[49]
Magical Mystery Tour,Magical Mystery Tour,LennonMcCartney,McCartney(with Lennon),1967,[55]
Martha My Dear,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
Matchbox,Past Masters,Carl Perkins,Starr,1964,[50]
Maxwell's Silver Hammer,Abbey Road,LennonMcCartney,McCartney,1969,[62]
Michelle,Rubber Soul,LennonMcCartney,McCartney,1965,[67]
Misery,Please Please Me,LennonMcCartney,Lennon(with McCartney),1963,[58]
Money (That's What I Want),With the Beatles,Berry GordyJanie Bradford,Lennon,1963,[52]
Mother Nature's Son,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
Mr. Moonlight,Beatles for Sale,Roy Lee Johnson,Lennon,1964,[59]
No Reply,Beatles for Sale,LennonMcCartney,Lennon,1964,[59]
Norwegian Wood (This Bird Has Flown),Rubber Soul,LennonMcCartney,Lennon,1965,[67]
Not a Second Time,With the Beatles,LennonMcCartney,Lennon,1963,[52]
Nowhere Man,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
"Ob-La-Di, Ob-La-Da","The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
Octopus's Garden,Abbey Road,Starkey,Starr,1969,[62]
Oh! Darling,Abbey Road,LennonMcCartney,McCartney,1969,[62]
Old Brown Shoe,"Past Masters(B-side of ""The Ballad of John and Yoko"")",Harrison,Harrison,1969,[50][61]
One After 909,Let It Be,LennonMcCartney,Lennon(with McCartney),1970,[49]
Only a Northern Song,Yellow Submarine,Harrison,Harrison,1969,[53]
P.S. I Love You,Please Please Me,LennonMcCartney,McCartney,1962,[58]
Paperback Writer,Past Masters,LennonMcCartney,McCartney,1966,[50][86]
Penny Lane,"Magical Mystery Tour(Double A-side with ""Strawberry Fields Forever"")",LennonMcCartney,McCartney,1967,[55][87]
Piggies,"The Beatles (""White Album"")",Harrison,Harrison,1968,[60]
Please Mr. Postman,With the Beatles,Georgia DobbinsWilliam GarrettBrian HollandRobert BatemanFreddie Gorman,Lennon,1963,[52]
Please Please Me,Please Please Me,LennonMcCartney,LennonMcCartney,1963,[58]
Rain,"Past Masters(B-side of ""Paperback Writer"")",LennonMcCartney,Lennon,1966,[50][86]
Revolution,"Past Masters(B-side of ""Hey Jude"")",LennonMcCartney,Lennon,1968,[50][71]
Revolution 1,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
Revolution 9,"The Beatles (""White Album"")",LennonMcCartney,Sound Collage,1968,[60]
Rock and Roll Music,Beatles for Sale,Chuck Berry,Lennon,1964,[59]
Rocky Raccoon,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
Roll Over Beethoven,With the Beatles,Chuck Berry,Harrison,1963,[52]
Run for Your Life,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
Savoy Truffle,"The Beatles (""White Album"")",Harrison,Harrison,1968,[60]
Sexy Sadie,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967,[63]
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartneyLennonHarrison,1967,[63]
She Loves You,Past Masters,LennonMcCartney,LennonMcCartney,1963,[50][75]
She Said She Said,Revolver,LennonMcCartney,Lennon,1966,[57]
She's a Woman,"Past Masters(B-side of ""I Feel Fine"")",LennonMcCartney,McCartney,1964,[50][73]
She's Leaving Home,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney(with Lennon),1967,[63]
Sie liebt dich,"Past Masters(B-side of ""Komm, gib mir deine Hand"")",LennonMcCartneyJean NicolasLee Montogue,LennonMcCartney,1964,[50][78]
Slow Down,Past Masters,Larry Williams,Lennon,1964,[50]
Something,Abbey Road,Harrison,Harrison,1969,[62]
Strawberry Fields Forever,"Magical Mystery Tour(Double A-side with ""Penny Lane"")",LennonMcCartney,Lennon,1967,[55][87]
Taxman,Revolver,Harrison,Harrison,1966,[57]
Tell Me What You See,Help!,LennonMcCartney,McCartney(with Lennon),1965,[51]
Tell Me Why,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
Thank You Girl,"Past Masters(B-side of ""From Me to You"")",LennonMcCartney,Lennon(with McCartney),1963,[50][68]
The Ballad of John and Yoko,Past Masters,LennonMcCartney,Lennon,1969,[50][61]
The Continuing Story of Bungalow Bill,"The Beatles (""White Album"")",LennonMcCartney,Lennon(with Yoko Ono),1968,[60]
The Inner Light,"Past Masters(B-side of ""Lady Madonna"")",Harrison,Harrison,1968,[50][77]
The Long and Winding Road,Let It Be,LennonMcCartney,McCartney,1970,[49]
The Night Before,Help!,LennonMcCartney,McCartney,1965,[51]
The Word,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
There's a Place,Please Please Me,LennonMcCartney,LennonMcCartney,1963,[58]
Things We Said Today,A Hard Day's Night,LennonMcCartney,McCartney,1964,[56]
Think for Yourself,Rubber Soul,Harrison,Harrison,1965,[67]
This Boy,"Past Masters(B-side of ""I Want to Hold Your Hand"" (UK))",LennonMcCartney,Lennon(with McCartneyand Harrison),1963,[50][74]
Ticket to Ride,Help!,LennonMcCartney,Lennon,1965,[51]
Till There Was You,With the Beatles,Meredith Willson,McCartney,1963,[52]
Tomorrow Never Knows,Revolver,LennonMcCartney,Lennon,1966,[57]
Twist and Shout,Please Please Me,Phil MedleyBert Berns,Lennon,1963,[58]
Two of Us,Let It Be,LennonMcCartney,McCartney(with Lennon),1970,[49]
Wait,Rubber Soul,LennonMcCartney,LennonMcCartney,1965,[67]
We Can Work It Out,"Past Masters(Double A-side with ""Day Tripper"")",LennonMcCartney,McCartney,1965,[50][64]
What Goes On,Rubber Soul,LennonMcCartneyStarkey,Starr,1965,[67]
What You're Doing,Beatles for Sale,LennonMcCartney,McCartney,1964,[59]
When I Get Home,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
When I'm Sixty-Four,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967,[63]
While My Guitar Gently Weeps,"The Beatles (""White Album"")",Harrison,Harrison,1968,[60]
Why Don't We Do It in the Road?,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
Wild Honey Pie,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
With a Little Help from My Friends,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Starr,1967,[63]
Within You Without You,Sgt. Pepper's Lonely Hearts Club Band,Harrison,Harrison,1967,[63]
Words of Love,Beatles for Sale,Buddy Holly,LennonMcCartney,1964,[59]
Yellow Submarine,Revolver,LennonMcCartney,Starr,1966,[57]
Yer Blues,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
Yes It Is,"Past Masters(B-side of ""Ticket to Ride"")",LennonMcCartney,Lennon(with McCartneyand Harrison),1965,[50][92]
Yesterday,Help!,LennonMcCartney,McCartney,1965,[51]
You Can't Do That,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
You Know My Name (Look Up the Number),"Past Masters(B-side of ""Let It Be"")",LennonMcCartney,LennonMcCartney,1970,[50][93]
You Like Me Too Much,Help!,Harrison,Harrison,1965,[51]
You Never Give Me Your Money,Abbey Road,LennonMcCartney,McCartney,1969,[62]
You Really Got a Hold on Me,With the Beatles,Smokey Robinson,LennonHarrison,1963,[52]
You Won't See Me,Rubber Soul,LennonMcCartney,McCartney,1965,[67]
You're Going to Lose That Girl,Help!,LennonMcCartney,Lennon,1965,[51]
You've Got to Hide Your Love Away,Help!,LennonMcCartney,Lennon,1965,[51]
Your Mother Should Know,Magical Mystery Tour,LennonMcCartney,McCartney,1967,[55]
