,WikiSong,MetaPath,AudioPath
0,Across the Universe,Across the Universe_beats.csv,Across The Universe (#2).mp3
1,Act Naturally,Act Naturally_beats.csv,Act Naturally.mp3
2,All I've Got to Do,All I've Got To Do_beats.csv,All I've Got To Do.mp3
3,All My Loving,All My Loving_beats.csv,All My Loving.mp3
4,All You Need Is Love,All You Need Is Love_beats.csv,All You Need Is Love.mp3
5,And I Love Her,And I Love Her_beats.csv,And I Love Her.mp3
6,And Your Bird Can Sing,And Your Bird Can Sing_beats.csv,And Your Bird Can Sing.mp3
7,Anna (Go to Him),Anna (Go To Him)_beats.csv,Anna (Go to Him).mp3
8,Another Girl,Another Girl_beats.csv,Another Girl.mp3
9,Any Time at All,Any Time At All_beats.csv,Any Time At All.mp3
10,Ask Me Why,Ask Me Why_beats.csv,Ask Me Why.mp3
11,Baby It's You,Baby It's You_beats.csv,Baby It's You.mp3
12,"Baby, You're a Rich Man",Baby You're A Rich Man_beats.csv,Baby You're A Rich Man.mp3
13,Baby's in Black,Baby's In Black_beats.csv,Baby's In Black.mp3
14,Back in the U.S.S.R.,Back in the USSR_beats.csv,Back In The U.S.S.R..mp3
15,Because,Because_beats.csv,Because.mp3
16,Being for the Benefit of Mr. Kite!,Being For The Benefit Of Mr. Kite_beats.csv,Being For The Benefit Of Mr. Kite!.mp3
17,Birthday,Birthday_beats.csv,Birthday.mp3
18,Blackbird,Black Bird_beats.csv,Blackbird.mp3
19,Blue Jay Way,Blue Jay Way_beats.csv,Blue Jay Way.mp3
20,Boys,Boys_beats.csv,Boys.mp3
21,Can't Buy Me Love,Can't Buy Me Love_beats.csv,Can't Buy Me Love.mp3
22,Carry That Weight,Carry That Weight_beats.csv,Golden Slumbers-Carry That Weight-The End-Her Majesty.mp3
23,Chains,Chains_beats.csv,Chains.mp3
24,Come Together,Come Together_beats.csv,Come Together.mp3
25,The Continuing Story of Bungalow Bill,The Continuing Story of Bungalow Bill_beats.csv,The Continuing Story Of Bungalow Bill.mp3
26,Cry Baby Cry,Cry Baby Cry_beats.csv,Cry Baby Cry.mp3
27,A Day in the Life,A Day In The Life_beats.csv,A Day In The Life.mp3
28,Dear Prudence,Dear Prudence_beats.csv,Dear Prudence.mp3
29,Devil in Her Heart,Devil In Her Heart_beats.csv,Devil In Her Heart.mp3
30,Dig a Pony,Dig a Pony_beats.csv,Dig A Pony.mp3
31,Dig It,Dig It_beats.csv,Dig It.mp3
32,"Dizzy, Miss Lizzy",Dizzy Miss Lizzy_beats.csv,Dizzy Miss Lizzy.mp3
33,Do You Want to Know a Secret,Do You Want To Know A Secret_beats.csv,Do You Want To Know A Secret.mp3
34,Doctor Robert,Doctor Robert_beats.csv,Doctor Robert.mp3
35,Don't Bother Me,Don't Bother Me_beats.csv,Don't Bother Me.mp3
36,Don't Pass Me By,Don't Pass Me By_beats.csv,Don't Pass Me By.mp3
37,Drive My Car,Drive My Car_beats.csv,Drive My Car.mp3
38,Eight Days a Week,Eight Days a Week_beats.csv,Eight Days A Week.mp3
39,Eleanor Rigby,Eleanor Rigby_beats.csv,Eleanor Rigby.mp3
40,The End,The End_beats.csv,Golden Slumbers-Carry That Weight-The End-Her Majesty.mp3
41,Every Little Thing,Every Little Thing_beats.csv,Every Little Thing.mp3
42,Everybody's Got Something to Hide Except Me and My Monkey,Everybody's Got Something To Hide Except Me and My Monkey_beats.csv,Everybody's Got Something To Hide Except Me And My Monkey.mp3
43,Everybody's Trying to Be My Baby,Everybody's Trying to Be My Baby_beats.csv,Everybody's Trying To Be My Baby.mp3
44,Fixing a Hole,Fixing A Hole_beats.csv,Fixing A Hole.mp3
45,Flying,Flying_beats.csv,Flying.mp3
46,The Fool on the Hill,The Fool On The Hill_beats.csv,Fool On The Hill.mp3
47,For No One,For No One_beats.csv,For No One.mp3
48,For You Blue,For You Blue_beats.csv,For Your Blue.mp3
49,Get Back,Get Back_beats.csv,Get Back (Album Version).mp3
50,Getting Better,Getting Better_beats.csv,Getting Better.mp3
51,Girl,Girl_beats.csv,Girl.mp3
52,Glass Onion,Glass Onion_beats.csv,Glass Onion.mp3
53,Golden Slumbers,Golden Slumbers_beats.csv,Golden Slumbers-Carry That Weight-The End-Her Majesty.mp3
54,Good Day Sunshine,Good Day Sunshine_beats.csv,Good Day Sunshine.mp3
55,Good Morning Good Morning,Good Morning Good Morning_beats.csv,Good Morning Good Morning.mp3
56,Good Night,Good Night_beats.csv,Good Night.mp3
57,Got to Get You into My Life,Got To Get You Into My Life_beats.csv,Got To Get You Into My Life.mp3
58,Happiness Is a Warm Gun,Happiness is a Warm Gun_beats.csv,Happiness Is A Warm Gun.mp3
59,A Hard Day's Night,A Hard Day's Night_beats.csv,A Hard Day's Night.mp3
60,"Hello, Goodbye",Hello Goodbye_beats.csv,Hello Goodbye.mp3
61,Help!,Help_beats.csv,Help!.mp3
62,Helter Skelter,Helter Skelter_beats.csv,Helter Skelter.mp3
63,Her Majesty,Her Majesty_beats.csv,Golden Slumbers-Carry That Weight-The End-Her Majesty.mp3
64,Here Comes the Sun,Here Comes The Sun_beats.csv,Here Comes The Sun.mp3
65,"Here, There and Everywhere",Here_beats.csv,"Here, There, And Everywhere.mp3"
66,Hold Me Tight,Hold Me Tight_beats.csv,Hold Me Tight.mp3
67,Honey Don't,Honey Don't_beats.csv,Honey Don't.mp3
68,Honey Pie,Honey Pie_beats.csv,Honey Pie.mp3
69,I Am the Walrus,I Am The Walrus_beats.csv,I Am The Walrus.mp3
70,I Don't Want to Spoil the Party,I Don't Want to Spoil the Party_beats.csv,I Don't Want To Spoil The Party.mp3
71,I Me Mine,I Me Mine_beats.csv,I Me Mine.mp3
72,I Need You,I Need You_beats.csv,I Need You.mp3
73,I Saw Her Standing There,I Saw Her Standing There_beats.csv,I Saw Her Standing There.mp3
74,I Should Have Known Better,I Should Have Known Better_beats.csv,I Should Have Known Better.mp3
75,I Wanna Be Your Man,I Wanna Be Your Man_beats.csv,I Wanna Be Your Man.mp3
76,I Want to Tell You,I Want To Tell You_beats.csv,I Want To Tell You.mp3
77,I Want You (She's So Heavy),I Want You_beats.csv,I Want You (She's So Heavy).mp3
78,I Will,I Will_beats.csv,I Will.mp3
79,If I Fell,If I Fell_beats.csv,If I Fell.mp3
80,If I Needed Someone,If I Needed Someone_beats.csv,If I Needed Someone.mp3
81,I'll Be Back,I'll Be Back_beats.csv,I'll Be Back.mp3
82,I'll Cry Instead,I'll Cry Instead_beats.csv,I'll Cry Instead.mp3
83,I'll Follow the Sun,I'll Follow the Sun_beats.csv,I'll Follow The Sun.mp3
84,I'm a Loser,I'm a Loser_beats.csv,I'm A Loser.mp3
85,I'm Happy Just to Dance with You,I'm Happy Just To Dance With You_beats.csv,I'm Happy Just To Dance With You.mp3
86,I'm Looking Through You,I'm Looking Through You_beats.csv,I'm Looking Through You.mp3
87,I'm Only Sleeping,I'm Only Sleeping_beats.csv,I'm Only Sleeping.mp3
88,I'm So Tired,I'm So Tired_beats.csv,I'm So Tired.mp3
89,I've Got a Feeling,I've Got A Feeling_beats.csv,I've Got A Feeling.mp3
90,I've Just Seen a Face,I've Just Seen a Face_beats.csv,I've Seen That Face.mp3
91,In My Life,In My Life_beats.csv,In My Life.mp3
92,It Won't Be Long,It Won't Be Long_beats.csv,It Won't Be Long.mp3
93,It's Only Love,It's Only Love_beats.csv,It's Only Love.mp3
94,Julia,Julia_beats.csv,Julia.mp3
95,Kansas City/Hey-Hey-Hey-Hey!,Kansas City- Hey_beats.csv,"Kansas City-Hey, Hey, Hey, Hey.mp3"
96,Let It Be,Let It Be_beats.csv,Let It Be (Album Version).mp3
97,Little Child,Little Child_beats.csv,Little Child.mp3
98,The Long and Winding Road,The Long and Winding Road_beats.csv,The Long and Winding Road.mp3
99,"Long, Long, Long",Long Long Long_beats.csv,"Long, Long, Long.mp3"
100,Love You To,Love You To_beats.csv,Love You To.mp3
101,Lovely Rita,Lovely Rita_beats.csv,Lovely Rita.mp3
102,Lucy in the Sky with Diamonds,Lucy In The Sky With Diamonds_beats.csv,Lucy In The Sky With Diamonds.mp3
103,Maggie Mae,Maggie Mae_beats.csv,Maggie Mae.mp3
104,Magical Mystery Tour,Magical Mystery Tour_beats.csv,Magical Mystery Tour.mp3
105,Martha My Dear,Martha My Dear_beats.csv,Martha My Dear.mp3
106,Maxwell's Silver Hammer,Maxwell's Silver Hammer_beats.csv,Maxwell's Silver Hammer.mp3
107,Mean Mr. Mustard,Mean Mr Mustard_beats.csv,Sun King-Mean Mr. Mustard-Polythene Pam-She Came In Through The Bathroom Window.mp3
108,Michelle,Michelle_beats.csv,Michelle.mp3
109,Misery,Misery_beats.csv,Misery.mp3
110,Money (That's What I Want),Money_beats.csv,Money (That's What I Want).mp3
111,Mother Nature's Son,Mother Nature's Son_beats.csv,Mother Nature's Son.mp3
112,Mr. Moonlight,Mr. Moonlight_beats.csv,Mr. Moonlight.mp3
113,The Night Before,The Night Before_beats.csv,The Night Before.mp3
114,No Reply,No Reply_beats.csv,No Reply.mp3
115,Norwegian Wood (This Bird Has Flown),Norwegian Wood (This Bird Has Flown)_beats.csv,Norwegian Wood (The Bird Has Flown).mp3
116,Not a Second Time,Not A Second Time_beats.csv,Not A Second Time.mp3
117,Nowhere Man,Nowhere Man_beats.csv,Nowhere Man.mp3
118,"Ob-La-Di, Ob-La-Da",Ob-La-Di_beats.csv,"Ob-La-Di, Ob-La-Da.mp3"
119,Octopus's Garden,Octopus's Garden_beats.csv,Octopus's Garden.mp3
120,Oh! Darling,Oh_beats.csv,Oh! Darling.mp3
121,One After 909,One After 909_beats.csv,One After 909.mp3
122,Penny Lane,Penny Lane_beats.csv,Penny Lane.mp3
123,Piggies,Piggies_beats.csv,Piggies.mp3
124,Please Mr. Postman,Please Mister Postman_beats.csv,Please Mister Postman.mp3
125,Please Please Me,Please Please Me_beats.csv,Please Please Me.mp3
126,Polythene Pam,Polythene Pam_beats.csv,Sun King-Mean Mr. Mustard-Polythene Pam-She Came In Through The Bathroom Window.mp3
127,P.S. I Love You,P. S. I Love You_beats.csv,P.S. I Love You.mp3
128,Revolution 1,Revolution 1_beats.csv,Revolution 1.mp3
129,Revolution 9,,Revolution 9.mp3
130,Rock and Roll Music,Rock and Roll Music_beats.csv,Rock And Roll Music.mp3
131,Rocky Raccoon,Rocky Raccoon_beats.csv,Rocky Raccoon.mp3
132,Roll Over Beethoven,Roll Over Beethoven_beats.csv,Roll Over Beethoven.mp3
133,Run for Your Life,Run For Your Life_beats.csv,Run For Your Life.mp3
134,Savoy Truffle,Savoy Truffle_beats.csv,Savoy Truffle.mp3
135,Sexy Sadie,Sexy Sadie_beats.csv,Sexy Sadie.mp3
136,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band_beats.csv,Sgt Pepper's Lonely Hearts Club Band.mp3
137,Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt. Pepper's Lonely Hearts Club Band (Reprise)_beats.csv,Sgt Pepper's Lonely Hearts Club Band (Reprise).mp3
138,She Came In Through the Bathroom Window,She Came In Through The Bathroom Window_beats.csv,Sun King-Mean Mr. Mustard-Polythene Pam-She Came In Through The Bathroom Window.mp3
139,She Said She Said,She Said She Said_beats.csv,"She Said, She Said.mp3"
140,She's Leaving Home,She's Leaving Home_beats.csv,She's Leaving Home.mp3
141,Something,Something_beats.csv,Something.mp3
142,Strawberry Fields Forever,Strawberry Fields Forever_beats.csv,Strawberry Fields Forever.mp3
143,Sun King,Sun King_beats.csv,Sun King-Mean Mr. Mustard-Polythene Pam-She Came In Through The Bathroom Window.mp3
144,A Taste of Honey,A Taste Of Honey_beats.csv,A Taste of Honey.mp3
145,Taxman,Taxman_beats.csv,Taxman.mp3
146,Tell Me What You See,Tell Me What You See_beats.csv,Tell Me What You See.mp3
147,Tell Me Why,Tell Me Why_beats.csv,Tell Me Why.mp3
148,There's a Place,There's A Place_beats.csv,There's A Place.mp3
149,Things We Said Today,Things We Said Today_beats.csv,Things We Said Today.mp3
150,Think for Yourself,Think For Yourself_beats.csv,Think For Yourself.mp3
151,Ticket to Ride,Ticket To Ride_beats.csv,Ticket To Ride.mp3
152,Till There Was You,Till There Was You_beats.csv,Till There Was You.mp3
153,Tomorrow Never Knows,Tomorrow Never Knows_beats.csv,Tomorrow Never Knows.mp3
154,Twist and Shout,Twist And Shout_beats.csv,Twist and Shout.mp3
155,Two of Us,Two of Us_beats.csv,Two Of Us.mp3
156,Wait,Wait_beats.csv,Wait.mp3
157,What Goes On,What Goes On_beats.csv,What Goes On.mp3
158,What You're Doing,What You're Doing_beats.csv,What You're Doing.mp3
159,When I Get Home,When I Get Home_beats.csv,When I Get Home.mp3
160,When I'm Sixty-Four,When I'm Sixty-Four_beats.csv,When I'm Sixty-Four.mp3
161,While My Guitar Gently Weeps,While My Guitar Gently Weeps_beats.csv,While My Guitar Gently Weeps.mp3
162,Why Don't We Do It in the Road?,Why Don't We Do It In The Road_beats.csv,Why Don't We Do It In The Road.mp3
163,Wild Honey Pie,Wild Honey Pie_beats.csv,Wild Honey Pie.mp3
164,With a Little Help from My Friends,With A Little Help From My Friends_beats.csv,With A Little Help From My Friends.mp3
165,Within You Without You,Within You Without You_beats.csv,Within You Without You.mp3
166,The Word,The Word_beats.csv,The Word.mp3
167,Words of Love,Words of Love_beats.csv,Words Of Love.mp3
168,Yellow Submarine,Yellow Submarine_beats.csv,Yellow Submarine.mp3
169,Yer Blues,Yer Blues_beats.csv,Yer Blues.mp3
170,Yesterday,Yesterday_beats.csv,Yesterday.mp3
171,You Can't Do That,You Can't Do That_beats.csv,You Can't Do That.mp3
172,You Know My Name (Look Up the Number),,You Know My Name (Look Up The Number).mp3
173,You Like Me Too Much,You Like Me Too Much_beats.csv,You Like Me To Much.mp3
174,You Never Give Me Your Money,You Never Give Me Your Money_beats.csv,You Never Give Me Your Money.mp3
175,You Won't See Me,You Won't See Me_beats.csv,You Won't See Me.mp3
176,Your Mother Should Know,Your Mother Should Know_beats.csv,Your Mother Should Know.mp3
177,You're Going to Lose That Girl,You're Going To Lose That Girl_beats.csv,You're Going to Lose That Girl.mp3
178,You've Got to Hide Your Love Away,You've Got To Hide Your Love Away_beats.csv,You've Got to Hide Your Love Away.mp3
179,You Really Got a Hold on Me,You Really Got A Hold On Me_beats.csv,You Really Got A Hold On Me.mp3
